(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClCl_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 846.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClII_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 852.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrI_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 858.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbIII_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 864.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrII_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 870.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClII_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 876.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrCl_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 882.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 888.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrBr_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 894.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbIII_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 900.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrI_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 906.00, Rho = -1.230
